ticker,company_name,sector,industry,market_type,exchange,price,market_cap,pe_ratio,peg_ratio,pb_ratio,ps_ratio,dividend_yield,beta,profit_margin,operating_margin,roa,roe,ev_to_ebitda,debt_to_equity,current_ratio,revenue_growth_3yr,earnings_growth_3yr,shares_outstanding,avg_return_1yr,volatility_1yr,sharpe_ratio,max_drawdown,esg_score
AAPL,AAPL Group,Technology,Cloud Computing,Large Cap,NYSE,26.8,61.2953715908,40.79,1.27,10.49,11.07,0.0,1.81,15.16,20.18,3.82,30.89,7.37,0.74,2.64,32.05,32.12,2287140731,19.68,30.92,0.57,-51.4,60.25
MSFT,MSFT Solutions,Technology,Enterprise Software,Large Cap,NYSE,578.85,4160.1251013282,69.95,3.04,6.09,4.69,0.0,1.2647901758267366,35.31,38.04,20.73,82.51,7.78,0.25,2.48,20.09,23.0,7186879332,26.43,20.33,1.2,-46.04,68.37
GOOG,GOOG Holdings,Technology,Cybersecurity,Large Cap,NASDAQ,637.76,365.48235535232,16.92,1.56,5.82,2.26,1.81,1.2603108959363492,36.96,37.49,9.85,58.73,11.96,0.97,3.47,13.22,10.88,573071932,4.94,15.35,0.19,-24.27,75.25
GOOGL,GOOGL Technologies,Energy,Oil & Gas E&P,Large Cap,NYSE,53.35,332.19069550865004,30.65,5.0,6.97,1.5,2.84,1.071637376583753,5.85,6.11,2.3,13.5,20.71,0.79,1.93,4.76,2.84,6226629719,15.14,11.75,1.12,-19.14,41.47
AMZN,AMZN Inc.,Industrial,Aerospace & Defense,Large Cap,NYSE,429.93,1032.37470794781,22.14,3.77,4.2,7.22,2.25,0.8353265730565973,4.86,4.27,2.45,10.87,15.24,1.27,2.23,6.91,5.87,2401262317,-13.91,16.28,-0.98,-45.34,44.28
META,META Corp.,Materials,Steel,Large Cap,NYSE,142.2,735.413481153,-26.67,,4.16,5.65,1.8,0.9044255108312989,13.2,13.74,4.41,21.31,18.88,1.14,0.85,-1.09,-0.0,5171684115,0.0,17.32,-0.12,-28.29,40.03
NVDA,NVDA Inc.,Technology,Software,Large Cap,NYSE,306.56,4405.83104722432,33.27,,2.99,5.99,2.87,1.4928227394343678,29.44,29.22,7.03,31.8,8.9,0.14,1.63,-3.17,-1.39,14371839272,-9.96,20.23,-0.59,-50.63,73.31
INTC,INTC Group,Communication Services,Media,Large Cap,NYSE,427.66,3908.868936652,-18.16,-227.0,4.18,2.43,2.95,1.4691128690029058,13.39,15.11,5.08,16.32,12.36,1.21,1.96,0.75,0.08,9140132200,4.23,19.96,0.11,-42.46,69.02
CSCO,CSCO Brands,Technology,Software,Large Cap,NASDAQ,305.58,2258.90310359802,37.29,1.22,5.85,7.56,0.0,1.2655274821998994,3.92,7.88,1.14,8.43,21.55,0.22,1.82,29.05,30.64,7392182419,8.85,14.25,0.48,-35.7,75.04
ADBE,ADBE Group,Healthcare,Hospitals,Large Cap,NASDAQ,42.86,307.26317803206,23.99,2.0,3.51,4.77,0.0,0.9538714079202808,14.26,16.2,5.14,26.64,22.64,0.87,0.82,13.86,11.98,7168996221,23.33,17.79,1.2,-46.4,53.72
CRM,CRM Group,Technology,Semiconductors,Large Cap,NYSE,486.91,2724.78553411777,28.34,0.89,1.49,10.83,0.17,1.634226106836574,38.16,40.4,16.18,87.41,12.07,0.88,3.47,33.86,31.75,5596076347,14.95,25.8,0.5,-43.31,75.92
ORCL,ORCL Holdings,Healthcare,Managed Healthcare,Large Cap,NASDAQ,117.07,1510.69577268298,97.02,3.38,9.19,1.77,0.0,0.9480573504951046,15.33,13.84,6.83,18.2,12.99,0.49,2.21,28.3,28.71,12904209214,-3.07,14.68,-0.35,-37.56,96.88
IBM,IBM Technologies,Technology,Internet,Large Cap,NYSE,458.87,7861.0094281766,31.18,4.9,5.47,8.78,0.97,2.156239377106457,52.07,57.86,13.59,77.85,10.35,0.43,1.85,7.48,6.36,17131234180,-0.73,34.98,-0.08,-89.06,58.72
AMD,AMD Systems,Financial Services,Financial Data,Large Cap,NASDAQ,93.63,924.78097936836,17.11,1.2,5.31,9.53,1.09,0.8079644196677723,34.58,39.87,17.05,84.45,17.6,1.01,2.34,14.5,14.21,9876972972,15.02,11.77,1.11,-27.96,56.2
TSM,TSM Technologies,Healthcare,Healthcare Services,Large Cap,NYSE,373.54,292.0181952259,,,2.99,10.46,0.0,1.357394023377671,30.59,29.24,6.3,41.98,9.5,0.65,3.8,9.8,7.2,781758835,-8.36,25.25,-0.41,-66.88,89.57
