user_id,ticker,weight,interaction_type,interaction_count
user_1,BQXZF,,comparison,10.0
user_1,QJS,,view,2.0
user_1,UNH,,research,7.0
user_1,XRI,,research,1.0
user_1,JMKN,,comparison,3.0
user_1,HIIF,,view,6.0
user_1,ECL,,watchlist,4.0
user_1,SAL,,watchlist,5.0
user_1,NJWOG,,comparison,10.0
user_1,ZNYV,,view,7.0
user_1,SUDEN,,view,1.0
user_1,META,,research,5.0
user_1,NIU,,comparison,2.0
user_1,ABT,,watchlist,4.0
user_1,TPRQO,,research,2.0
user_2,RHHH,,research,4.0
user_2,DIS,,research,2.0
user_2,UCXMB,,view,5.0
user_2,ZBU,,view,9.0
user_2,FBBW,,comparison,2.0
user_2,QCVAT,,view,8.0
user_2,TVQ,,view,8.0
user_2,XFWW,,research,2.0
user_2,GQXGS,,research,8.0
user_2,RECIK,,comparison,2.0
user_2,NFLX,,view,3.0
user_2,BUZT,,comparison,4.0
user_2,RGZB,,research,8.0
user_2,EQIX,,watchlist,6.0
user_2,QHZF,,research,7.0
user_3,IGOFF,,comparison,8.0
user_3,TNUPE,,view,9.0
user_3,REHR,,comparison,1.0
user_3,UQL,,view,9.0
user_3,GLCR,,comparison,8.0
user_3,VITN,,view,6.0
user_3,YYJZN,,watchlist,5.0
user_3,DHIV,,comparison,10.0
user_3,LJAH,,comparison,7.0
user_3,EEE,,comparison,5.0
user_3,EA,,view,10.0
user_3,LFSE,,comparison,7.0
user_3,NJWOG,,watchlist,9.0
user_3,CSCO,,comparison,5.0
user_3,XEL,,comparison,10.0
user_4,VHMC,,research,5.0
user_4,AMD,,view,2.0
user_4,YYWN,,comparison,3.0
user_4,MEWAY,,watchlist,5.0
user_4,DKHI,,watchlist,9.0
user_4,EBAY,,comparison,2.0
user_4,PSFNQ,,comparison,3.0
user_4,ZEENN,,research,2.0
user_4,URYZT,,comparison,6.0
user_4,RYZLE,,watchlist,8.0
user_4,LIN,,view,7.0
user_4,PYVZ,,watchlist,2.0
user_4,MZUR,,comparison,2.0
user_4,META,,watchlist,2.0
user_4,CZC,,comparison,1.0
user_5,DUK,,watchlist,6.0
user_5,BMY,,view,7.0
user_5,BPEYI,,watchlist,6.0
user_5,ZBU,,comparison,2.0
user_5,WKY,,research,9.0
user_5,DKHI,,view,9.0
user_5,HADY,,watchlist,7.0
user_5,ROGO,,research,5.0
user_5,ILQ,,watchlist,8.0
user_5,SBUX,,view,8.0
user_5,TBV,,research,8.0
user_5,DKU,,view,1.0
user_5,IQCKM,,watchlist,1.0
user_5,OZXRI,,watchlist,4.0
user_5,FCX,,research,1.0
user_6,SHVJ,,comparison,2.0
user_6,BRK.B,,view,8.0
user_6,AMD,,view,3.0
user_6,QSWIN,,watchlist,2.0
user_6,CAN,,view,9.0
user_6,EZIX,,view,4.0
user_6,SO,,watchlist,5.0
user_6,PFE,,research,3.0
user_6,CQE,,view,9.0
user_6,EPUAG,,watchlist,8.0
user_6,MMB,,research,3.0
user_6,MCD,,research,8.0
user_6,TPG,,watchlist,3.0
user_6,CSCO,,research,9.0
user_6,INHZT,,comparison,8.0
user_7,RHHH,,view,4.0
user_7,QOYZ,,watchlist,9.0
user_7,YANKH,,research,4.0
user_7,OCX,,research,6.0
user_7,EZIX,,view,1.0
user_7,ZHB,,view,3.0
user_7,KFKFA,,research,2.0
user_7,KVF,,research,1.0
user_7,XBZ,,research,6.0
user_7,UPS,,view,9.0
user_7,XEBDE,,research,8.0
user_7,EA,,view,2.0
user_7,IQCKM,,view,7.0
user_7,AYG,,comparison,5.0
user_7,ZZQGI,,view,6.0
user_8,TWIRA,,view,10.0
user_8,YVR,,view,5.0
user_8,AWEV,,watchlist,5.0
user_8,SVVX,,comparison,3.0
user_8,WKY,,research,9.0
user_8,ICFLV,,research,4.0
user_8,LRYD,,watchlist,6.0
user_8,EGI,,watchlist,3.0
user_8,OHOQP,,research,4.0
user_8,ESS,,watchlist,5.0
user_8,ZNYV,,comparison,3.0
user_8,SUDEN,,view,3.0
user_8,AEP,,view,4.0
user_8,HMOEI,,research,1.0
user_8,KLMZ,,view,6.0
user_9,DLR,,comparison,8.0
user_9,MFC,,research,4.0
user_9,XRCK,,comparison,1.0
user_9,UQL,,watchlist,4.0
user_9,PXYZ,,watchlist,3.0
user_9,FOHGF,,research,8.0
user_9,UIQB,,comparison,2.0
user_9,XEBDE,,research,9.0
user_9,EOG,,watchlist,9.0
user_9,JOL,,comparison,5.0
user_9,MCD,,view,5.0
user_9,HMOEI,,comparison,9.0
user_9,KMI,,research,9.0
user_9,FGVCB,,watchlist,9.0
user_9,EZM,,view,2.0
user_10,HSJAW,,watchlist,4.0
user_10,TPG,,view,9.0
user_10,BSHK,,research,5.0
user_10,IPNKB,,research,1.0
user_10,BWMH,,watchlist,8.0
user_10,SDFCL,,watchlist,8.0
user_10,VZ,,comparison,5.0
user_10,PFE,,watchlist,9.0
user_10,RFXYZ,,watchlist,6.0
