user_id,ticker,weight,interaction_type,interaction_count
user_1,JMKN,0.1093,,
user_1,SFUH,0.0937,,
user_1,MYT,0.023,,
user_1,QJS,0.1388,,
user_1,DLR,0.0802,,
user_1,NIU,0.0933,,
user_1,WFC,0.132,,
user_1,UNH,0.1355,,
user_1,HIIF,0.0135,,
user_1,CFMH,0.0067,,
user_1,ECL,0.0575,,
user_1,BQXZF,0.0406,,
user_1,XRI,0.0194,,
user_1,SUDEN,0.0565,,
user_2,QRWDA,0.0049,,
user_2,QCVAT,0.4561,,
user_2,QHZF,0.311,,
user_2,TVQ,0.2279,,
user_3,NJWOG,0.0528,,
user_3,REHR,0.0518,,
user_3,IGOFF,0.0003,,
user_3,EEE,0.4568,,
user_3,VITN,0.0126,,
user_3,UQL,0.0919,,
user_3,LFSE,0.3339,,
user_4,META,0.0303,,
user_4,VMT,0.0215,,
user_4,PYVZ,0.0383,,
user_4,DKHI,0.0061,,
user_4,VHMC,0.1917,,
user_4,MZUR,0.2457,,
user_4,YYWN,0.0931,,
user_4,AMD,0.1341,,
user_4,PSFNQ,0.1025,,
user_4,OCX,0.0439,,
user_4,ZEENN,0.0927,,
user_5,HZYS,0.2147,,
user_5,OZXRI,0.197,,
user_5,TTWO,0.01,,
user_5,EBAY,0.0737,,
user_5,ILQ,0.0601,,
user_5,FCX,0.1654,,
user_5,ZBU,0.0826,,
user_5,SBUX,0.0511,,
user_5,YYWN,0.1454,,
user_6,AMD,0.1864,,
user_6,EZIX,0.0861,,
user_6,MMB,0.6422,,
user_6,CAN,0.0348,,
user_6,TPG,0.0053,,
user_6,PFE,0.0451,,
user_7,OCX,0.0375,,
user_7,XEBDE,0.1619,,
user_7,IQCKM,0.2055,,
user_7,KFKFA,0.1248,,
user_7,UPS,0.0479,,
user_7,WUS,0.0297,,
user_7,EZIX,0.142,,
user_7,DFNVK,0.1747,,
user_7,YANKH,0.076,,
user_8,EGI,0.0093,,
user_8,VOW,0.0031,,
user_8,UUV,0.001,,
user_8,WKY,0.0042,,
user_8,TWIRA,0.248,,
user_8,UPS,0.0265,,
user_8,LRYD,0.0287,,
user_8,NULX,0.0209,,
user_8,QWZS,0.0044,,
user_8,FKON,0.0525,,
user_8,ESS,0.0436,,
user_8,IJZSU,0.0188,,
user_8,AWEV,0.0179,,
user_8,OHOQP,0.5211,,
user_9,MCD,0.2406,,
user_9,DLR,0.1572,,
user_9,MFC,0.0154,,
user_9,KMI,0.0816,,
user_9,EZM,0.4018,,
user_9,FOHGF,0.1034,,
user_10,HRE,0.0342,,
user_10,UGI,0.0898,,
user_10,RFXYZ,0.0197,,
user_10,SDFCL,0.0645,,
user_10,HSJAW,0.0963,,
