user_id,ticker,weight,interaction_type,interaction_count
user_1,"['JMKN', 'SFUH', 'MYT', 'QJS', 'DLR', 'NIU', 'WFC', 'UNH', 'HIIF', 'CFMH', 'ECL', 'BQXZF', 'XRI', 'SUDEN']","[0.1093, 0.0937, 0.023, 0.1388, 0.0802, 0.0933, 0.132, 0.1355, 0.0135, 0.0067, 0.0575, 0.0406, 0.0194, 0.0565]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
user_10,"['HRE', 'UGI', 'RFXYZ', 'SDFCL', 'HSJAW', 'PFE', 'KMI', 'TPG', 'TMUS', 'PDOG', 'BSHK', 'SBUX']","[0.0342, 0.0898, 0.0197, 0.0645, 0.0963, 0.1679, 0.1026, 0.0422, 0.127, 0.1989, 0.0565, 0.0004]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
user_100,"['ENO', 'SLNJ', 'WFC', 'RFKQ', 'XDO', 'VLO', 'CSPQF', 'HMOEI', 'EJIPH', 'NRD']","[0.0272, 0.0098, 0.506, 0.048, 0.0412, 0.1086, 0.0436, 0.0412, 0.1611, 0.0131]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
user_1000,"['NJCGC', 'EZM', 'LJAH']","[0.4291, 0.2495, 0.3213]","[nan, nan, nan]","[nan, nan, nan]"
user_1001,"['HZYS', 'BMJHL', 'PNC', 'PSFNQ', 'PLD', 'KWU', 'KNX', 'XXVS', 'BQGS', 'AMT', 'WSWB', 'EMMU', 'DXRX']","[0.1724, 0.0023, 0.0657, 0.1198, 0.1882, 0.0124, 0.0364, 0.0071, 0.157, 0.1697, 0.0576, 0.0018, 0.0094]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
user_1002,"['TSJP', 'XQCSK', 'CMI', 'NVDA', 'RFXYZ', 'GILD', 'WSWB', 'YDBPP', 'CAT', 'JRN', 'ABBV', 'KXHVT', 'EZM', 'BRK.B']","[0.0412, 0.1705, 0.0768, 0.0673, 0.0228, 0.1773, 0.0733, 0.0172, 0.0581, 0.0238, 0.0454, 0.1476, 0.0119, 0.0667]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
user_1003,"['XXVS', 'VVNQL', 'ZEENN', 'RVRGC', 'IXFM', 'UTWKY', 'RTX', 'BUZT', 'WOS']","[0.0898, 0.3014, 0.0145, 0.128, 0.0038, 0.0285, 0.0389, 0.057, 0.3382]","[nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan]"
user_1004,"['TSJP', 'XDO', 'OMC', 'UMW', 'YYWN']","[0.1602, 0.1686, 0.0411, 0.1561, 0.4739]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]"
user_1005,"['PSFNQ', 'AYG', 'MYT', 'UNH', 'UNHA', 'RECIK', 'EMR']","[0.3274, 0.0192, 0.3267, 0.1044, 0.0439, 0.1319, 0.0464]","[nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan]"
user_1006,"['EMR', 'HIIL', 'IJZSU', 'UVKXA', 'ZUH', 'URWQZ', 'HZYS', 'TNGL', 'RBZ']","[0.0246, 0.3765, 0.0012, 0.0076, 0.3285, 0.0969, 0.1459, 0.0017, 0.017]","[nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan]"
user_1007,"['EXC', 'UHXUP', 'LRYD', 'IBM']","[0.6275, 0.051, 0.222, 0.0995]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
user_1008,"['O', 'LILV', 'NIU', 'CSPQF', 'VZ', 'SO', 'URWQZ', 'LPVFH', 'QHZF']","[0.0438, 0.3115, 0.0096, 0.0058, 0.1283, 0.0647, 0.0809, 0.3448, 0.0106]","[nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan]"
user_1009,"['QSYI', 'NEE', 'YRE', 'BUZT', 'UZMXP']","[0.0295, 0.1193, 0.0232, 0.7014, 0.1266]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]"
user_101,"['NRD', 'BSZW', 'PEG']","[0.1816, 0.004, 0.8145]","[nan, nan, nan]","[nan, nan, nan]"
user_1010,"['VYVDR', 'WGXXS', 'NEE']","[0.8445, 0.0635, 0.092]","[nan, nan, nan]","[nan, nan, nan]"
user_1011,"['FCX', 'UJYLJ', 'AMZN']","[0.0671, 0.1889, 0.744]","[nan, nan, nan]","[nan, nan, nan]"
user_1012,"['SFUH', 'JUGLU', 'KVXB', 'LVDC', 'FOHGF', 'DFNVK', 'BIIB', 'OHOQP', 'HFSX', 'HRE', 'KVF', 'CCI']","[0.0024, 0.0265, 0.0257, 0.3137, 0.0111, 0.13, 0.0249, 0.1531, 0.052, 0.0215, 0.0961, 0.1431]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
